Ticker,Company,Sector
ADANIENT,Adani Enterprises,Conglomerate
ADANIPORTS,Adani Ports,Infrastructure
APOLLOHOSP,Apollo Hospitals,Healthcare
ASIANPAINT,Asian Paints,Consumer Goods
AXISBANK,Axis Bank,Financial Services
BAJAJ-AUTO,Bajaj Auto,Automobile
BAJFINANCE,Bajaj Finance,Financial Services
BAJAJFINSV,Bajaj Finserv,Financial Services
BHARTIARTL,Bharti Airtel,Telecom
BEL,Bharat Electronics,Defence
BPCL,BPCL,Oil & Gas
BRITANNIA,Britannia Industries,Consumer Goods
CIPLA,Cipla,Pharma
COALINDIA,Coal India,Energy
DRREDDY,Dr Reddy's Labs,Pharma
EICHERMOT,Eicher Motors,Automobile
GRASIM,Grasim Industries,Conglomerate
HCLTECH,HCL Technologies,IT
HDFCBANK,HDFC Bank,Financial Services
HDFCLIFE,HDFC Life,Financial Services
HEROMOTOCO,Hero MotoCorp,Automobile
HINDALCO,Hindalco Industries,Metals
HINDUNILVR,Hindustan Unilever,Consumer Goods
ICICIBANK,ICICI Bank,Financial Services
INDUSINDBK,IndusInd Bank,Financial Services
INFY,Infosys,IT
ITC,ITC,Consumer Goods
JSWSTEEL,JSW Steel,Metals
KOTAKBANK,Kotak Mahindra Bank,Financial Services
LT,Larsen & Toubro,Infrastructure
M&M,Mahindra & Mahindra,Automobile
MARUTI,Maruti Suzuki,Automobile
NESTLEIND,Nestle India,Consumer Goods
NTPC,NTPC,Energy
ONGC,ONGC,Oil & Gas
POWERGRID,Power Grid,Energy
RELIANCE,Reliance Industries,Conglomerate
SBILIFE,SBI Life Insurance,Financial Services
SBIN,State Bank of India,Financial Services
SHRIRAMFIN,Shriram Finance,Financial Services
SUNPHARMA,Sun Pharmaceutical,Pharma
TATAMOTORS,Tata Motors,Automobile
TATASTEEL,Tata Steel,Metals
TATACONSUM,Tata Consumer Products,Consumer Goods
TCS,Tata Consultancy Services,IT
TECHM,Tech Mahindra,IT
TITAN,Titan Company,Consumer Goods
TRENT,Trent,Retail
ULTRACEMCO,UltraTech Cement,Cement
WIPRO,Wipro,IT
